"file_time","event_type","actor_login","repo_name","created_at","updated_at","action","comment_id","body","path","position","line","ref","ref_type","creator_user_login","number","title","labels","state","locked","assignee","assignees","comments","author_association","closed_at","merged_at","merge_commit_sha","requested_reviewers","requested_teams","head_ref","head_sha","base_ref","base_sha","merged","mergeable","rebaseable","mergeable_state","merged_by","review_comments","maintainer_can_modify","commits","additions","deletions","changed_files","diff_hunk","original_position","commit_id","original_commit_id","push_size","push_distinct_size","member_login","release_tag_name","release_name","review_state"
"DateTime","Enum8('CommitCommentEvent' = 1, 'CreateEvent' = 2, 'DeleteEvent' = 3, 'ForkEvent' = 4, 'GollumEvent' = 5, 'IssueCommentEvent' = 6, 'IssuesEvent' = 7, 'MemberEvent' = 8, 'PublicEvent' = 9, 'PullRequestEvent' = 10, 'PullRequestReviewCommentEvent' = 11, 'PushEvent' = 12, 'ReleaseEvent' = 13, 'SponsorshipEvent' = 14, 'WatchEvent' = 15, 'GistEvent' = 16, 'FollowEvent' = 17, 'DownloadEvent' = 18, 'PullRequestReviewEvent' = 19, 'ForkApplyEvent' = 20, 'Event' = 21, 'TeamAddEvent' = 22)","LowCardinality(String)","LowCardinality(String)","DateTime","DateTime","Enum8('none' = 0, 'created' = 1, 'added' = 2, 'edited' = 3, 'deleted' = 4, 'opened' = 5, 'closed' = 6, 'reopened' = 7, 'assigned' = 8, 'unassigned' = 9, 'labeled' = 10, 'unlabeled' = 11, 'review_requested' = 12, 'review_request_removed' = 13, 'synchronize' = 14, 'started' = 15, 'published' = 16, 'update' = 17, 'create' = 18, 'fork' = 19, 'merged' = 20)","UInt64","String","String","Int32","Int32","LowCardinality(String)","Enum8('none' = 0, 'branch' = 1, 'tag' = 2, 'repository' = 3, 'unknown' = 4)","LowCardinality(String)","UInt32","String","Array(LowCardinality(String))","Enum8('none' = 0, 'open' = 1, 'closed' = 2)","UInt8","LowCardinality(String)","Array(LowCardinality(String))","UInt32","Enum8('NONE' = 0, 'CONTRIBUTOR' = 1, 'OWNER' = 2, 'COLLABORATOR' = 3, 'MEMBER' = 4, 'MANNEQUIN' = 5)","DateTime","DateTime","String","Array(LowCardinality(String))","Array(LowCardinality(String))","LowCardinality(String)","String","LowCardinality(String)","String","UInt8","UInt8","UInt8","Enum8('unknown' = 0, 'dirty' = 1, 'clean' = 2, 'unstable' = 3, 'draft' = 4, 'blocked' = 5)","LowCardinality(String)","UInt32","UInt8","UInt32","UInt32","UInt32","UInt32","String","UInt32","String","String","UInt32","UInt32","LowCardinality(String)","String","String","Enum8('none' = 0, 'approved' = 1, 'changes_requested' = 2, 'commented' = 3, 'dismissed' = 4, 'pending' = 5)"
"2024-03-29 11:00:00","IssueCommentEvent","LaurentBonnaud","tukaani-project/xz","2024-03-29 11:22:46","2024-03-29 11:22:45","created",2027101490,"Hi,
zstd has a nice integrated benchmark feature:
```
$ zstd -b
 3#Synthetic 50%     :  10000000 ->   3230847 (x3.095),  346.2 MB/s, 2616.6 MB/s
```
It is useful to have an easily reproducible test.
In xz it could help to test which variant among
* Basic C version
* Branchless C
* x86-64 inline assembly

is the fastest on a given system.

It would be even better if all 3 variants could be compiled into the same binary and chosen at runtime.
","",0,0,"","none","LaurentBonnaud",83,"[Feature Request]: Is there a real-world benchmark for xz?","[]","open",0,"","[]",2,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",0,0,"","","","none"
"2024-03-29 02:00:00","WatchEvent","xiyuning","tukaani-project/xz-java","2024-03-29 02:57:45","1970-01-01 00:00:00","started",0,"","",0,0,"","none","",0,"","[]","none",0,"","[]",0,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",0,0,"","","","none"
"2024-03-28 20:00:00","WatchEvent","tvierling","tukaani-project/xz","2024-03-28 20:17:49","1970-01-01 00:00:00","started",0,"","",0,0,"","none","",0,"","[]","none",0,"","[]",0,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",0,0,"","","","none"
"2024-03-28 14:00:00","PushEvent","JiaT75","tukaani-project/xz-java","2024-03-28 14:59:59","1970-01-01 00:00:00","none",0,"","",0,0,"refs/heads/master","none","",0,"","[]","none",0,"","[]",0,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",2,2,"","","","none"
"2024-03-28 13:00:00","DeleteEvent","JiaT75","tukaani-project/xz-embedded","2024-03-28 13:27:31","1970-01-01 00:00:00","none",0,"","",0,0,"github_files","branch","",0,"","[]","none",0,"","[]",0,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",0,0,"","","","none"
"2024-03-28 12:00:00","WatchEvent","rdrygas","tukaani-project/xz","2024-03-28 12:46:34","1970-01-01 00:00:00","started",0,"","",0,0,"","none","",0,"","[]","none",0,"","[]",0,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",0,0,"","","","none"
"2024-03-27 06:00:00","ForkEvent","codejeffrey","tukaani-project/xz-java","2024-03-27 06:07:13","1970-01-01 00:00:00","none",0,"","",0,0,"","none","",0,"","[]","none",0,"","[]",0,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",0,0,"","","","none"
"2024-03-26 17:00:00","PushEvent","Larhzu","tukaani-project/xz-java","2024-03-26 17:33:39","1970-01-01 00:00:00","none",0,"","",0,0,"refs/heads/bytearrayview","none","",0,"","[]","none",0,"","[]",0,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",8,8,"","","","none"
"2024-03-26 17:00:00","PushEvent","Larhzu","tukaani-project/xz-java","2024-03-26 17:45:14","1970-01-01 00:00:00","none",0,"","",0,0,"refs/heads/bytearrayview","none","",0,"","[]","none",0,"","[]",0,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",1,1,"","","","none"
"2024-03-26 12:00:00","PushEvent","JiaT75","tukaani-project/xz","2024-03-26 12:09:32","1970-01-01 00:00:00","none",0,"","",0,0,"refs/heads/master","none","",0,"","[]","none",0,"","[]",0,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",1,1,"","","","none"
"2024-03-26 12:00:00","PushEvent","JiaT75","tukaani-project/xz-embedded","2024-03-26 12:11:30","1970-01-01 00:00:00","none",0,"","",0,0,"refs/heads/master","none","",0,"","[]","none",0,"","[]",0,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",3,0,"","","","none"
"2024-03-26 04:00:00","WatchEvent","cs2130","tukaani-project/xz","2024-03-26 04:28:14","1970-01-01 00:00:00","started",0,"","",0,0,"","none","",0,"","[]","none",0,"","[]",0,"NONE","1970-01-01 00:00:00","1970-01-01 00:00:00","","[]","[]","","","","",0,0,0,"unknown","",0,0,0,0,0,0,"",0,"","",0,0,"","","","none"
